x,y,z,t,prob
12,20,20,0,0.102716
32,24,32,0,0.0558004
36,24,28,0,0.0787119
56,16,20,0,0.0880478
56,16,24,0,0.0480412
44,20,12,0,0.0585826
52,20,16,0,0.0385635
40,24,28,0,0.0421053
8,16,24,0,0.0283078
24,32,28,0,0.0262801
16,12,20,0,0.0270182
4,16,24,0,0.0382599
64,24,28,0,0.0267842
36,24,32,0,0.0261888
20,12,24,0,0.0261317
24,12,20,0,0.0277874
24,16,16,0,0.206931
24,16,12,0,0.031325
28,16,12,0,0.0274021
52,24,12,0,0.0286282
52,24,16,0,0.0268367
56,24,16,0,0.0573101
56,24,20,0,0.0265408
60,24,20,0,0.0267377
60,24,24,0,0.20192
64,24,24,0,0.0256102
20,8,28,0,0.0251128
20,12,28,0,0.0280988
36,40,24,0,0.0247945
8,8,28,0,0.0433112
36,40,20,0,0.0245338
36,36,20,0,0.0245338
36,44,24,0,0.0296924
44,24,16,0,0.0245338
28,20,8,0,0.0245338
32,20,4,0,0.0245338
32,24,4,0,0.0245338
48,24,24,0,0.0245338
52,24,24,0,0.0311499
36,44,32,0,0.204314
36,44,28,0,0.0278272
40,24,4,0,0.025978
48,24,8,0,0.0570333
44,24,8,0,0.0245338
48,24,12,0,0.0245338
32,40,20,0,0.0245338
48,16,16,0,0.0266066
8,12,28,0,0.0252898
16,12,28,0,0.0367077
24,20,12,0,0.029909
20,16,20,0,0.0248639
20,16,12,0,0.0245676
48,36,12,0,0.206931
16,16,12,0,0.0245338
44,20,24,0,0.0257048
0,12,28,0,0.0246612
24,20,8,0,0.0251294
8,16,20,0,0.0247391
32,36,20,6,0.0257178
24,32,24,6,0.0494899
56,24,28,6,0.0245338
24,28,4,6,0.0244517
60,24,28,6,0.0250642
52,24,16,6,0.0255562
52,24,20,6,0.0251953
56,24,24,6,0.0266578
52,32,24,6,0.0267814
28,28,16,6,0.0261104
28,32,24,6,0.0245338
56,32,28,6,0.0245338
28,32,20,6,0.0244366
32,32,20,6,0.0245338
40,28,8,6,0.0244366
44,32,12,6,0.0245338
24,28,8,6,0.0245338
56,36,28,6,0.0245338
56,28,32,2,0.0245338
12,28,20,6,0.0249596
56,32,20,6,0.0246632
28,32,28,6,0.0256547
56,32,24,6,0.0551502
8,20,20,6,0.0256969
52,20,20,6,0.0265076
56,28,28,2,0.0259049
12,28,16,6,0.0264778
16,24,16,6,0.0245824
4,28,24,6,0.0246612
48,28,12,6,0.0246612
8,28,24,6,0.0248819
24,24,12,6,0.202756
12,16,24,6,0.0245338
12,16,28,6,0.0245338
60,36,32,6,0.0242601
8,20,28,6,0.0259494
12,20,24,6,0.024942
24,32,28,6,0.0243533
8,20,24,6,0.0245252
8,16,28,6,0.0243896
4,16,28,6,0.0248367
64,24,24,2,0.0274217
20,24,12,6,0.0244729
20,20,16,6,0.0249664
16,20,16,6,0.0573725
8,28,20,6,0.0263935
12,20,20,6,0.0362717
60,28,24,2,0.0368779
16,28,12,6,0.0262721
4,28,28,6,0.0285164
20,20,32,6,0.0254354
52,28,24,6,0.026407
20,24,20,6,0.0258252
48,24,16,6,0.0256055
64,28,24,2,0.0299191
20,28,12,6,0.0269849
48,32,20,6,0.0266827
52,36,24,6,0.0248878
40,24,8,6,0.0254159
44,24,12,6,0.0255305
56,36,24,6,0.0255588
32,28,0,6,0.0303408
48,20,12,6,0.0249213
36,28,4,0,0.0255034
20,16,28,0,0.203344
52,16,16,0,0.0343104
64,12,28,0,0.0252412
48,20,12,0,0.0251926
52,20,20,0,0.0253266
24,20,16,0,0.0250288
24,20,20,0,0.0260411
24,16,20,0,0.02827
24,16,24,0,0.0313567
20,16,24,0,0.0270366
64,32,24,0,0.0249883
8,16,28,0,0.0251119
4,16,28,0,0.0247529
0,44,28,0,0.0301162
32,36,20,0,0.024844
32,36,16,0,0.0248987
4,44,28,0,0.0248987
56,12,24,0,0.0248987
28,20,12,0,0.0248987
4,40,28,0,0.0249032
4,40,24,0,0.028148
8,40,24,0,0.0247467
24,28,4,0,0.0248987
56,32,20,0,0.0248987
60,32,20,0,0.0248987
56,32,16,0,0.0248987
16,20,24,0,0.0248987
12,16,28,0,0.0248987
28,28,0,0,0.0248987
28,28,4,0,0.0248731
12,36,16,0,0.0246269
16,36,16,0,0.0248987
16,36,12,0,0.0258596
4,20,24,0,0.0248987
4,20,28,0,0.0248987
60,32,24,0,0.0248987
